Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Investment analyst,IT,Increasing,Moderate,42109.76,Master’s Degree,5,1515,6342,55.96,28.28,UK,44.63
"Journalist, newspaper",Manufacturing,Increasing,Moderate,132298.57,Master’s Degree,15,1243,6205,16.81,89.71,USA,66.39
Financial planner,Finance,Increasing,Low,143279.19,Bachelor’s Degree,4,3338,1154,91.82,72.97,Canada,41.13
Legal secretary,Healthcare,Increasing,High,97576.13,Associate Degree,15,7173,4060,1.89,99.94,Australia,65.76
Aeronautical engineer,IT,Increasing,Low,60956.63,Master’s Degree,13,5944,7396,53.76,37.65,Germany,72.57
Legal secretary,Education,Decreasing,Low,39123.32,Master’s Degree,20,6985,7832,77.5,28.99,USA,46.91
"Surveyor, insurance",Manufacturing,Decreasing,High,147150.03,High School,7,9738,4360,30.51,7.08,UK,20.14
Dentist,Entertainment,Decreasing,High,64245.48,Associate Degree,0,1393,8206,9.74,2.49,Canada,59.27
Emergency planning/management officer,Education,Increasing,High,72488.15,High School,12,7729,4452,38.77,99.56,Australia,60.56
Visual merchandiser,Manufacturing,Decreasing,Moderate,95840.3,Associate Degree,16,1127,2375,4.29,69.03,China,48.19
Emergency planning/management officer,Manufacturing,Increasing,Moderate,97133.62,Bachelor’s Degree,17,4627,1684,89.49,43.94,China,34.83
Housing manager/officer,Entertainment,Decreasing,High,114672.3,High School,12,2800,7964,94.02,20.19,UK,31.9
"Geologist, wellsite",Entertainment,Increasing,Moderate,116427.68,PhD,7,1852,3700,32.89,5.54,Australia,56.02
"Runner, broadcasting/film/video",Healthcare,Decreasing,Moderate,43059.04,PhD,2,1824,7625,55.6,13.12,Australia,27.5
Press photographer,Entertainment,Decreasing,Moderate,137894.14,Master’s Degree,3,8312,9700,59.95,95.76,India,56.06
"Biochemist, clinical",Entertainment,Increasing,Moderate,67908.84,Master’s Degree,2,1872,5314,93.9,3.19,China,74.67
Town planner,Retail,Decreasing,High,107318.63,Associate Degree,11,7251,1090,15.25,55.15,UK,23.99
"Engineer, civil (consulting)",Healthcare,Decreasing,Moderate,101322.09,Associate Degree,17,1044,8832,12.92,64.18,India,56.12
Audiological scientist,Transportation,Increasing,Low,109546.76,Master’s Degree,8,5379,8913,82.13,80.62,UK,38.87
"Clinical scientist, histocompatibility and immunogenetics",Manufacturing,Decreasing,High,142660.31,Master’s Degree,2,2377,7307,4.29,16.88,India,56.57
Music therapist,Education,Increasing,High,122569.29,High School,4,2661,5588,88.17,26.8,India,34.19
Advertising copywriter,Retail,Decreasing,High,122668.89,Bachelor’s Degree,14,7291,7469,65.94,7.14,Brazil,74.45
